Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-12-01;28,00;4,00;0,00;20,00;16,00;4,00;0,00;4,00;0,00;0,00;0,00;7,64;40,73;0,00;0,00;8,00;0,00;5,09;0,00;147,64;0,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;49,00;12,00;0,00;16,00;4,00;0,00;0,00;0,00;4,00;7,74;5,16;5,16;25,79;4,00;4,00;8,00;0,00;0,00;0,00;110,25;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;8,00;8,00;8,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;33,00;20,00;0,00;4,00;8,00;8,00;0,00;8,00;0,00;0,00;0,00;7,62;12,69;0,00;0,00;4,00;8,00;5,08;0,00;83,77;0,00;0,00;21,00;0,00;12,00;0,00;4,00;0,00;0,00;8,00;4,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;100,00;0,00;0,00;5,00;14,00;0,00;0,00;14,00;0,00;5,13;0,00;5,13;53,85;0,00;0,00;14,00;5,00;5,00;0,00;120,00;0,00;0,00;14,00;0,00;14,00;0,00;0,00;0,00;5,00;5,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;95,00;0,00;5,00;41,00;9,00;14,00;0,00;5,00;0,00;5,14;5,14;5,14;59,05;5,00;0,00;18,00;0,00;10,00;0,00;250,00;0,00;0,00;5,00;0,00;5,00;0,00;5,00;5,00;5,00;9,00;23,00;5,00;5,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;37,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;7,93;13,21;0,00;0,00;12,00;16,00;0,00;0,00;101,13;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;8,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;49,00;4,00;0,00;11,00;4,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;30,95;46,00;0,00;4,00;4,00;4,90;0,00;95,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;11,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;42,00;4,00;23,00;27,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,24;4,00;0,00;12,00;0,00;0,00;0,00;76,59;0,00;0,00;0,00;4,00;12,00;0,00;0,00;0,00;0,00;8,00;8,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;23,00;0,00;0,00;4,00;0,00;0,00;4,00;8,00;0,00;0,00;0,00;10,22;10,22;0,00;0,00;8,00;4,00;0,00;0,00;92,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;19,00;4,00;4,00;7,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;2,71;16,29;0,00;4,00;0,00;7,00;0,00;0,00;67,86;0,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;4,00;4,00;11,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
