Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2020-05-03;3,00;6,00;3,00;3,00;5,00;63,00;6,00;0,00;6,00;12,00;0,00;3,00;0,00;3,00;0,00;15,00;0,00;3,00;5,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00
2020-05-10;10,00;0,00;0,00;0,00;12,50;43,33;6,67;10,00;10,00;20,00;5,00;10,00;3,00;0,00;0,00;3,75;0,00;0,00;0,00;0,00;3,33;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;3,00;7,00;14,00;0,00;8,00;42,00;6,00;12,00;30,00;12,00;3,00;0,00;10,00;0,00;3,00;8,00;5,00;3,00;3,00;3,00;3,00;0,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;14,00;0,00;10,00;0,00;10,18;56,00;2,80;3,50;21,00;28,00;3,50;0,00;3,00;3,00;0,00;14,00;0,00;3,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-31;26,00;3,00;7,00;0,00;19,81;34,67;5,78;4,33;17,33;43,33;0,00;3,00;0,00;0,00;0,00;3,71;0,00;3,71;9,90;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-07;23,00;0,00;13,00;3,63;19,37;54,63;5,75;7,67;7,67;30,67;3,83;7,00;0,00;0,00;3,00;0,00;0,00;6,05;3,63;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-14;14,00;4,00;0,00;0,00;11,45;58,80;14,00;7,00;7,00;35,00;0,00;0,00;4,00;0,00;0,00;11,45;0,00;21,64;0,00;0,00;3,11;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-21;34,00;0,00;19,00;3,78;3,78;49,45;12,36;4,25;17,00;59,50;8,50;7,00;4,00;0,00;0,00;11,33;3,78;11,33;7,56;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-28;11,00;0,00;11,00;7,33;18,33;60,50;13,75;11,00;11,00;132,00;11,00;7,00;19,00;4,00;4,00;25,67;0,00;22,00;3,67;0,00;3,14;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-05;35,00;4,00;12,00;3,75;23,75;85,91;12,73;8,75;35,00;105,00;8,75;4,00;4,00;4,00;0,00;11,25;7,50;15,00;3,75;0,00;0,00;0,00;4,00;0,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
